,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
'v',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.27999999999999997,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.149999999986546,0.27999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.27999999999999975,0.27999999999999997,0.0,0.0,0.0,0.0
'h',0.0,0.0,0.0,0.0,0.1,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.8699999999865797,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'z',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.27999999999999986,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.7599999999863387,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15000000000000002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'b',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999975,4.099999999986256,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.2,0.0,0.0,0.0
'n',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999997,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.169999999986299,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2799999999999999,0.25,0.0,0.0
'd',0.0,0.15000000000000002,0.27999999999999997,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.069999999986357,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2799999999999999,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ö',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999994,0.27999999999999975,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999998,3.959999999986496,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999986,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'y',0.0,0.0,0.0,0.0,0.25,4.28999999999158,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'o',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.289999999991467,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'w',0.27999999999999997,4.259999999991542,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'>',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2999999999999997,0.29999999999999977,0.2799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,3.8999999999999826,3.9799999999999827,4.299999999996542
'm',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.1,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,4.119999999986381,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999975,0.25,0.25,0.0
'l',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.209999999986457,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'a',0.27999999999999986,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269999999991547,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.3199999999999999,0.3099999999999995,0.2799999999999995,0.27999999999999986,0.2,0.0,0.0,0.0,0.0,0.27999999999999986,4.269999999992939,3.809999999999988,3.779999999999985,3.829999999999984,3.6199999999999832,0.25,0.0,0.0
