,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei ollut edes lähellä>,71,0.0,19.5,11.69045194450012,30.031432011926576,8.311628713861001,3.65,6.298351432655275,7.1,2.394437999475729,6.875,8.394709872661107,1.125,0.9657599638069015,1.475,1.2400889132721544,0.6163949783457208,0.12858903922472784,40.25,17.533484448992926,88.70654043569965,26.42142986642515,250.41985857836647,7.028029092920836,0.675,0.47434164902525683,0.3,0.4640954808922571,90.98666265335143,29.60154740185655
ei tehdä tästä ongelmaa>,23,0.0,19.5,11.69045194450012,34.03766176673865,7.633269147210186,3.225,9.73623288388434,6.85,2.587445032241612,5.3,5.407497169765847,0.675,0.9167249398727055,1.325,1.0472797485843368,0.6885724192308219,0.12405006423894255,41.35,17.571173946158346,125.09644986979549,32.37570063941678,249.61833526946575,1.4952176727564257,0.7,0.46409548089225705,0.2,0.4050957468334667,73.14049448686829,28.642385859742337
en tarvitse lahjoja>,49,0.0,19.5,11.69045194450012,32.28510610787291,11.055718282064955,2.975,5.828697791850075,6.2,3.553257804556408,6.4,11.950324531587267,0.55,0.7143223433831609,1.2,1.4535544409551753,0.6843811412020708,0.1603280063680088,36.625,25.702127518444055,87.62398376103424,36.73657516779759,248.98961802934156,1.7505856277454341,0.525,0.505736325340815,0.25,0.4385290096535146,76.20383646136753,37.839511024987154
en tiennyt mitä tehdä>,59,0.0,19.5,11.69045194450012,30.383170098162356,9.917675693389599,2.675,5.090904408089754,7.05,2.5615500115239724,7.275,8.869386993531492,0.625,0.7741827783921407,1.65,1.2516655570345725,0.6527103718500228,0.1326301519887103,41.6,19.75464891730941,92.02088082164184,27.664633427859496,248.11306166596637,1.47404707234225,0.625,0.49029033784546006,0.25,0.4385290096535146,81.42167414652076,30.172876406364516
haluatko syödä lounasta>,47,0.0,19.5,11.69045194450012,18.158870721098744,13.928010054518454,9.4,10.572824380675929,6.125,4.237727378363706,7.95,9.564759034320486,1.05,1.0609623111312794,1.325,1.4030644117750772,0.5843580249714585,0.2166817292802627,36.5,28.359414843335717,95.01031872806517,68.49524196027178,299.0019908838204,127.16810338710269,0.5,0.5063696835418333,0.5,0.5063696835418333,131.15445704038467,116.56853689129133
halusin vain tarkistaa>,25,0.0,19.5,11.69045194450012,21.46626446387872,16.586204340393497,9.7,10.216126015727818,5.4,4.2895221179054435,4.5,8.455009135842463,0.725,0.876692502300404,0.95,1.218447940872069,0.6785111991579592,0.20159735573529963,28.025,25.759725571877922,75.34298612069901,55.50966933338827,281.3358782966559,105.05302934739507,0.475,0.5057363253408151,0.5,0.5063696835418333,99.46304090869124,93.4168584379616
hanna ottaa vastuun>,39,0.0,19.5,11.69045194450012,20.203691470241434,20.172864038694314,9.4,9.502496298206903,3.625,3.1024184114977142,2.3,7.633260552782583,0.125,0.40430377003131995,0.35,0.6222374845503018,0.5714045393948117,0.2351802357079707,19.45,21.647466838242767,38.39548231758452,33.53540115411337,306.54584963015657,104.13516699265509,0.275,0.4522025867763026,0.525,0.5057363253408153,132.19675266624273,89.47764598679798
hyväksyin sen jo>,40,0.0,19.5,11.69045194450012,17.466412664316298,16.155839842630233,7.625,7.761467942044508,3.825,2.9254629263303498,3.95,5.751031122708255,0.4,0.6717752982077051,1.05,1.4133067244713364,0.5655067812820868,0.24895559440702345,21.325,18.424325475597993,43.46782614484167,34.98902034190999,292.0045561203138,97.74416013896159,0.4,0.4961389383568338,0.525,0.5057363253408151,122.65707142779627,86.83688071042624
